id,商品名称,销售价格,月销量,评论量,商品人气值
565555529064,COCOESSENCE/遇见香芬 男士旷世经典古龙洗发露 ,168,1362,6789,11312
570653853587,Matin Rosie/玛汀露丝 法国香氛柔顺丝滑洗发乳液 ,89.8,3057,12319,60112
533908823646,MAYWUFA/美吾发 玫瑰精油洗发露 ,29.9,4845,3204,3448
572249712360,香馜 香氛洗发乳 ,49,9914,48891,51168
38267220332,Sivia/仙维娜 橄榄去屑柔顺洗发露 ,29.8,1271,6991,6628
23957184564,章光101 101瑞丝防脱香波 ,45,628,1990,2014
534767220591,SUKIN 清爽净化洗发水 ,79,1266,3160,21732
575934888395,和风雨 柔顺清爽无硅油洗发水 ,59.9,14520,16134,21112
583276462115,TriptychOfLune/三谷 悦动牙买加洗发水 ,79,2837,2736,5416
539999358316,Batiste/碧缇丝 经典洁净免水洗发喷雾 ,49,568,15484,28620
539336317419,六神无硅油洗发水洗发露450mlX2去屑控油清爽男女通用家庭装包邮 ,89,1045,4913,5344
564406747102,Selsun 去屑洗发水-强效型 ,69,3845,7079,18624
557457645033,熊野油脂 沙龙植物洗发水 ,69,607,865,2542
585117407751,头皮毛囊炎去大块头皮屑药神器硫磺软膏除螨去头螨去屑止痒洗发水 ,168,387,942,2050
39947616926,资生堂洗护套装 丝蓓绮奢耀柔艳洗发水护发素750ml*2改善暗哑干枯 ,94.9,481,1692,3310
587530961617,丝路瑰宝 芙缇生姜防脱育发洗发水 ,298,2390,3429,8530
45237724757,JANESE/珍妮诗 清爽止痒二合一洗发露 ,18,2772,17688,11232
539322097858,艾诗沐浴露洗发水套装持久留香无硅油去屑止痒保湿滋润家庭装优雅 ,69.9,779,3410,3358
563729351380,采乐酮康正品非康王洗发水去屑止痒控油神器男女士旗舰店官方旗舰 ,29.9,1760,4210,5424
595351333805,魔香小苍兰洗发水护发素沐浴露套装女男持久留香家庭装洗护网红款 ,59,572,160,372
536645917443,采乐 香水祛屑洗发露 ,39.9,893,53962,20494
580737999021,PAHKEN/帕克 芙缇生姜防脱育发洗发水 ,55,1359,7274,16780
37367825227,阿道夫 净澈清爽洗发乳液420ml ,123.5,394,1697,3858
534680353211,施华蔻斐丝丽雏菊香氛洗发水润发乳清爽男女士官方洗护套装1360ml ,89,1801,12857,23334
529721739788,施华蔻男士洗发水防掉发调理修护针对细弱易掉发质洗发露450ml ,69,838,4009,4404
38232631624,阿道夫 净澈清爽洗发乳液 ,166,327,4674,18788
575858525278,海飞丝无硅油去屑止痒控油洗发水液露套装洗发膏男女正品450ml*3 ,139,2987,7878,14670
520307050786,L'OREAL /欧莱雅 透明质酸水润72h洗发露 ,49.9,10493,32780,26076
545152571565,海飞丝 去屑洗发露(怡神冰凉型) ,64.8,3215,5595,2228
2850871799,海飞丝 去屑洗发露深层洁净型 ,43,2237,1786,2316
583520997166,【官方正品】蓝吕洗发水护发素男士无硅油去屑洗护套装女400ml*2 ,140.8,378,536,1334
560489824228,【官方正品】绿吕控油蓬松清爽男士无硅油洗发水组合女清香400g*2 ,140.8,12556,16182,44640
535919649838,KERASTASE/卡诗 丝韧焕活洗发水 ,260,189,351,1642
558648533760,【官方旗舰 】卡诗去屑净化洗发水无硅油深层清洁去头屑 ,240,158,1793,6132
530894058692,欧莱雅美发透明质酸水润洗发露套装700ml*2 补水保湿正品 无硅油 ,109,317,897,2430
572082701149,L'OREAL /欧莱雅 奇焕精油洗发露 (奇焕炫亮) ,89,256,491,2308
540832013590,海飞丝洗发水/露丝质柔滑洗发膏750ml/700ml/500ml官网旗舰洗发乳 ,46.9,260,469,1020
557313783044,伊卡璐 Herbalessences洗发水 ,65,12917,15118,42790
589343083369,海飞丝 0%硅油 微米净透水润 去屑洗发露 ,42.9,264,13,36
540717285151,日本玉肌进口百年品牌芬芳无硅油洗发水洗发露540ml*2自由搭配 ,178,2088,3906,15730
522605235173,CLEAR/清扬去屑洗发露新款多效水润养护型750g 去屑滋养洗发水 ,75.8,19,13,60
40241133980,清扬洗发水去屑洗发露男士多效水润750+女士多效水润750洗发套装 ,118,53,99,234
550885416460,施华蔻斐丝丽向阳花洗发水护发素男女士洗护套装官方正品1360ml ,89,771,7548,12100
534629014147,施华蔻斐丝丽睡莲水养洗发水套装2瓶平衡水养清香450ml+450ml ,69,289,568,1558
36266192710,L'OREAL /欧莱雅 精油润养洗发露 ,49.9,6720,22548,13500
581954522558,阿道夫 修护滋养洗发水 ,88,6270,3596,1760
15579096437,海飞丝洗发水护发素套装丝源复活头皮洗530ml+护530ml ,139,793,3988,11022
575581122672,海飞丝洗发水露丝质柔滑5ml*100袋旅行装5毫升去屑小包袋装洗头膏 ,29.9,344,967,792
38232571056,阿道夫 祛屑止痒洗发乳液420ml ,166,70,778,876
522027639218,宝洁潘婷乳液洗发水护发素套装洗护 洗发露男女洗头膏500*2+500 ,99.9,39108,231916,273872
523025117576,阿道夫 净澈清爽洗发水+护发素 ,166,64,676,1348
586726059434,海飞丝防脱发洗发水青春男士女套装护根防掉焕活乳精华官方旗舰店 ,169,107,51,334
545112811220,【官方旗舰  】卡诗舒缓丝盈洗发水500ml 舒缓头皮 日常 ,380,151,123,470
558648533760,【官方旗舰 】卡诗去屑净化洗发水无硅油深层清洁去头屑 ,240,158,1793,6132
572082701149,L'OREAL /欧莱雅 奇焕精油洗发露 (奇焕炫亮) ,89,256,491,2308
540832013590,海飞丝洗发水/露丝质柔滑洗发膏750ml/700ml/500ml官网旗舰洗发乳 ,46.9,260,469,1020
584690000216,海飞丝 头皮护理洗发露(菁纯丝滑) ,43.9,183,451,1928
592201334874,【官方正品】吕男士参姜去屑无硅油洗发水新品200ml ,58,189,82,166
571797331498,【官方正品】绿吕洗发水蓝吕舒盈清润净澈控油去屑蓬松洗护套装香 ,264,5,43,292
551628101067,AUSSIE 丰盈蓬松洗发水 ,49,6039,32981,76922
557313783044,伊卡璐 Herbalessences洗发水 ,65,12917,15118,42790
42529380516,欧莱雅美发多效修复滋润发丝洗发水露护发素套装400*2+400ml正品 ,99,453,719,2074
555836899009,L'OREAL /欧莱雅 芯基源洗发水(针对自然细软发质) ,198,16,32,324
24540744248,L＇oreal/欧莱雅 沙龙洗护致臻修护洗发水 ,119,23,160,2490
18907787236,联合利华清扬多效水润男女士洗发水/露去头屑留香官方正品500g*2 ,112,98,14140,17376
549322868832,【屈臣氏】施华蔻赋芮深海臻润洗发露400ml ,129,37,123,602
40841703607,【屈臣氏】资生堂惠润鲜花芳香洗护套装(洗发露/水+护发素)男女士 ,99,298,1950,4614
564629875785,2瓶 施华蔻男士火山岩洗发露450ml洗发水装无硅油强根去油腻去屑 ,69,171,224,282
584990209086,施华蔻洗发露水凝胶原修护洗发水男女士补水洗护套装洗头膏1.9L ,99,20,14,54
579470672403,CLEAR/清扬 清扬女生去屑洗发水花丛邂逅 ,55.9,32,135,414
582758552694,联合利华力士小晶钻樱花之恋无硅油洗发水+护发精华素套装450ml*2 ,99.9,351,395,2404
563675773364,CLEAR/清扬 润养去屑洗发露 ,79.9,17,55,220
561053063652,资生堂洗发水两瓶丝蓓绮滢艳润养洗发露500ml*2瓶顺滑滋养 ,158,12,11,54
38347251930,清扬洗发水男士去屑止痒洗头膏洗发露多效水润型官方正品 ,42.9,70,613,482
572663382747,RYO/吕 红吕洗发水（单瓶装） ,49,486,748,1542
40241133980,清扬洗发水去屑洗发露男士多效水润750+女士多效水润750洗发套装 ,118,53,99,234
45764483876,进口资生堂护理道头皮生机洗发水250ml+头皮生机护发素260g 套装 ,499,14,18,72
554476339937,安质 A5308 ,358,592,6242,37342
43383480839,syoss丝蕴洗发水露护发素套装修复烫染受损深层修护洗头膏男女士 ,35,666,30539,43562
593584432153,法国进口phyto发朵丝漾洗发露200ml 防脱发洗发水 无硅油植物配方 ,210,541,66,630
541942379081,日本进口资生堂惠润柔净洗发露绿野芳香替换装400ml*2袋洗发水 ,78,50,361,672
531477027570,养元青 头发护理洗发乳套装(控油防脱)中长发适用 ,55.4,1022,3323,6694
543225555046,9度洗发水护发素套装正品男女士去屑止痒控油洗头膏露留香味持久 ,68,1525,21817,27376
539420665366,德国Bubchen女孩儿童洗发水护发素正品3-15岁宝宝无硅油 ,36,5554,9093,15088
585895035594,拉芳 去屑控油洗发水 ,39,1398,1486,1100
572831607237,韩国Ryo黑吕洗发水防脱生发男女士强韧固发进口洗发露400ml*2瓶 ,119,83,356,1106
589650534411,PAHKEN/帕克 男士英伦香氛洗发露+沐浴露 ,79,1440,1118,1622
520530219650,资生堂洗发水组合 水之密语净澄水活倍润洗发水600ml*2瓶滋养柔顺 ,93.8,577,1506,2656
